title,work experience,salary,region
Automation Software Engineer,3–6 лет,з/п не указана,Минск
QA Automation Engineer_Erp.aero,1–3 года,з/п не указана,Гомель
Fullstack Developer с навыками DevOps,3–6 лет,з/п не указана,Минск
React Native/React developer with Python,1–3 года,з/п не указана,Минск
Senior Project manager,3–6 лет,з/п не указана,Минск
React Native/React developer,1–3 года,з/п не указана,Минск
Senior DevOps Engineer / Cloud Solution Architect,3–6 лет,от 6 000 до 9 000 USD на руки,Минск
Системный администратор,3–6 лет,з/п не указана,Минск
Automation QA Engineer / Software Development Engineer in Test,1–3 года,з/п не указана,Минск
Senior Front developer (React),более 6 лет,з/п не указана,Минск
Backend Developer (PHP),1–3 года,з/п не указана,Минск
SRE/System administrator,3–6 лет,з/п не указана,Минск
Junior Python-разработчик,1–3 года,от 800 до 1 500 USD на руки,Брест
Cтажёр-разработчик автоматизированных тестов,не требуется,з/п не указана,Минск
Infrastructure Operations Engineer,1–3 года,з/п не указана,Минск
Senior C++ Linux Developer,3–6 лет,з/п не указана,Минск
Trainee XSLT Developer,1–3 года,з/п не указана,Минск
Full-stack Python Developer,3–6 лет,от 4 500 до 5 000 EUR на руки,Тбилиси
Middle Python Developer (микросервисная архитектура),1–3 года,от 2 500 до 3 000 USD на руки,Тбилиси
Python Developer,3–6 лет,з/п не указана,Тбилиси
Python Developer,3–6 лет,з/п не указана,Батуми
R Developer,3–6 лет,з/п не указана,Тбилиси
Senior Python developer,3–6 лет,з/п не указана,Тбилиси
Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD до вычета налогов,Тбилиси
Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD до вычета налогов,Батуми
Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD до вычета налогов,Каспи
Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD до вычета налогов,Боржоми
Senior Python developer (MLOps),более 6 лет,от 3 500 EUR на руки,Лимассол
Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD до вычета налогов,Кутаиси
Data Analyst (middle/senior),3–6 лет,от 2 500 до 3 500 USD на руки,Тбилиси
Linux DevOps Engineer,3–6 лет,з/п не указана,Тбилиси
Data Engineer (Python),1–3 года,з/п не указана,Тбилиси
С++ developer,3–6 лет,до 5 000 USD на руки,Тбилиси
Your start in IT - QA Automation Training to become an Automation QA Intern,не требуется,з/п не указана,Тбилиси
Data analyst (Tableau),3–6 лет,от 1 500 до 3 500 EUR на руки,Тбилиси
DevOPS / SRE Engineer,3–6 лет,от 4 500 до 6 000 USD на руки,Тбилиси
Data Scientist,1–3 года,з/п не указана,Тбилиси
Senior Java/Kotlin разработчик (eCom),более 6 лет,до 6 000 USD до вычета налогов,Тбилиси
Senior pentest engineer (Relocation),3–6 лет,от 2 000 до 4 500 EUR на руки,Тбилиси
Automation QA engineer Middle,1–3 года,з/п не указана,Тбилиси
DevOps Engineer,1–3 года,з/п не указана,Тбилиси
Senior Product / Web Analyst,3–6 лет,з/п не указана,Тбилиси
DevOps Middle Engineer,1–3 года,з/п не указана,Тбилиси
Senior Java разработчик (Hospitality),3–6 лет,до 5 000 USD до вычета налогов,Тбилиси
Senior System Analyst,3–6 лет,з/п не указана,Тбилиси
Data Engineer,1–3 года,з/п не указана,Тбилиси
Tableau BI Developer,1–3 года,з/п не указана,Тбилиси
DevOps Senior Engineer,3–6 лет,з/п не указана,Тбилиси
Senior C++ Developer (Connected Device SW Platform),3–6 лет,з/п не указана,Тбилиси
Senior Embedded Software Engineer,более 6 лет,з/п не указана,Батуми
Senior Java developer (POS Hospitality),3–6 лет,до 5 000 USD до вычета налогов,Тбилиси
Senior Embedded Software Engineer,более 6 лет,з/п не указана,Тбилиси
Fullstack developer (Java+JavaScript),3–6 лет,з/п не указана,Тбилиси
High-Speed Hardware Design Engineer,более 6 лет,з/п не указана,Батуми
QA Lead (remote),3–6 лет,з/п не указана,Тбилиси
Embedded Emgineer (Key fob/Access System),более 6 лет,з/п не указана,Тбилиси
QA Automation Engineer (Vehicle portal),3–6 лет,з/п не указана,Тбилиси
Performance Testing Engineer,3–6 лет,з/п не указана,Тбилиси
High-Speed Hardware Design Engineer,более 6 лет,з/п не указана,Тбилиси
Python Developer,3–6 лет,з/п не указана,Абхазия
Solutions Architect,более 6 лет,з/п не указана,Тбилиси
Technical Architect Node.Js,3–6 лет,з/п не указана,Тбилиси
System architect,более 6 лет,з/п не указана,Тбилиси
"Senior Backend (Python, Go) Developer (Connected Device Platform team)",3–6 лет,з/п не указана,Тбилиси
Senior Systems Engineer / Senior C ++ Developer,более 6 лет,з/п не указана,Тбилиси
Python Technical Lead,3–6 лет,з/п не указана,Тбилиси
Lead Observability Engineer,3–6 лет,з/п не указана,Тбилиси
SQL/ETL developer,1–3 года,з/п не указана,Ростов-на-Дону
QA Engineer (Feeds Team),1–3 года,з/п не указана,Тбилиси
Growth and Marketing Analyst,3–6 лет,з/п не указана,Тбилиси
Technical support engineer (2nd line),не требуется,з/п не указана,Тбилиси
Technical support engineer (2nd line),не требуется,з/п не указана,Кутаиси
Big Data Engineer,3–6 лет,з/п не указана,Тбилиси
Financial Analyst,3–6 лет,з/п не указана,Тбилиси
Senior Backend Developer,более 6 лет,до 5 000 EUR до вычета налогов,Тбилиси
DevOps Engineer,более 6 лет,до 6 000 EUR до вычета налогов,Тбилиси
Senior HPC Engineer,более 6 лет,з/п не указана,Тбилиси
